2025-06-07 03:02:37 | id
2025-06-11 01:18:04 | whoami
2025-06-11 01:32:46 | whoami
2025-06-11 01:32:59 | whoami
2025-06-11 01:33:35 | whoami
2025-06-11 01:35:57 | whoami
2025-06-11 15:12:14 | whoami
2025-06-11 15:12:17 | whoami
2025-06-11 15:12:31 | whoami
2025-06-11 15:13:24 | cmd
2025-06-11 15:13:32 | whoami
2025-06-11 15:14:23 | id
2025-06-11 15:20:28 | whoami
2025-06-11 15:31:00 | whoami
2025-06-11 15:31:13 | something.txt
2025-06-11 15:31:15 | something.txt
2025-06-11 15:45:44 | whoami
2025-06-11 15:45:51 | whoami
2025-06-11 17:54:08 | cmd
2025-06-11 17:54:11 | cmd
2025-06-11 17:54:18 | whoami
